Customer_ID,First_Purchase_Date,Last_Purchase_Date,Tenure_Months,Total_Orders,Avg_Order_Value,Total_Spend,Reward_Points,Purchase_Frequency,Avg_Discount_Used,Churn_Probability,Category_Loyalty,Preferred_Channel,City,State,Latitude,Longitude
C000,2023-09-27 02:56:56.788485,2024-02-26 02:56:56.788485,5,41,1794.66,73581.06,3679,8.2,0.22,0.88,Furniture,Retail,Mumbai,Maharashtra,19.076,72.8777
C001,2022-06-20 02:56:56.788485,2023-03-22 02:56:56.788485,9,83,1594.87,132374.21,6618,9.22,0.08,0.32,Clothing,Retail,Delhi,Delhi,28.6139,77.209
C002,2020-12-16 02:56:56.788485,2021-08-24 02:56:56.788485,8,82,1523.45,124922.9,6246,10.25,0.06,0.17,Food,Retail,Bengaluru,Karnataka,12.9716,77.5946
C003,2023-07-04 02:56:56.788485,2023-09-22 02:56:56.788485,3,16,1635.21,26163.36,1308,5.33,0.04,0.74,Electronics,Online,Hyderabad,Telangana,17.385,78.4867
C004,2021-04-22 02:56:56.788485,2021-07-31 02:56:56.788485,3,4,684.95,2739.8,136,1.33,0.16,0.38,Food,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C005,2023-02-23 02:56:56.788485,2023-05-11 02:56:56.788485,3,12,1797.4,21568.8,1078,4.0,0.12,0.47,Food,Online,Ahmedabad,Gujarat,23.0225,72.5714
C006,2020-08-08 02:56:56.788485,2020-09-25 02:56:56.788485,2,29,447.15,12967.35,648,14.5,0.06,0.63,Food,Online,Pune,Maharashtra,18.5204,73.8567
C007,2023-02-03 02:56:56.788485,2023-11-21 02:56:56.788485,10,7,805.42,5637.94,281,0.7,0.17,0.9,Furniture,Retail,Kolkata,West Bengal,22.5726,88.3639
C008,2020-10-05 02:56:56.788485,2021-01-26 02:56:56.788485,4,14,1256.15,17586.1,879,3.5,0.05,0.42,Clothing,Retail,Jaipur,Rajasthan,26.9124,75.7873
C009,2023-01-03 02:56:56.788485,2023-07-06 02:56:56.788485,6,12,385.23,4622.76,231,2.0,0.14,0.78,Furniture,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C010,2021-03-22 02:56:56.788485,2021-06-12 02:56:56.788485,3,99,1514.23,149908.77,7495,33.0,0.14,0.27,Electronics,Online,Mumbai,Maharashtra,19.076,72.8777
C011,2021-08-25 02:56:56.788485,2022-01-08 02:56:56.788485,5,5,897.04,4485.2,224,1.0,0.19,0.69,Clothing,Online,Delhi,Delhi,28.6139,77.209
C012,2023-10-29 02:56:56.788485,2024-09-26 02:56:56.788485,11,81,1611.93,130566.33,6528,7.36,0.02,0.01,Food,Online,Bengaluru,Karnataka,12.9716,77.5946
C013,2023-05-21 02:56:56.788485,2023-11-01 02:56:56.788485,5,32,1087.21,34790.72,1739,6.4,0.22,0.86,Clothing,Retail,Hyderabad,Telangana,17.385,78.4867
C014,2023-09-15 02:56:56.788485,2023-12-22 02:56:56.788485,3,74,525.57,38892.18,1944,24.67,0.18,0.04,Electronics,Online,Chennai,Tamil Nadu,13.0827,80.2707
C015,2021-12-16 02:56:56.788485,2022-01-25 02:56:56.788485,1,43,1522.57,65470.51,3273,43.0,0.06,0.71,Furniture,Online,Ahmedabad,Gujarat,23.0225,72.5714
C016,2021-08-17 02:56:56.788485,2022-02-05 02:56:56.788485,6,81,653.86,52962.66,2648,13.5,0.05,0.06,Furniture,Online,Pune,Maharashtra,18.5204,73.8567
C017,2023-01-20 02:56:56.788485,2023-08-29 02:56:56.788485,7,69,1083.46,74758.74,3737,9.86,0.11,0.27,Food,Retail,Kolkata,West Bengal,22.5726,88.3639
C018,2020-12-21 02:56:56.788485,2021-03-29 02:56:56.788485,3,45,335.96,15118.2,755,15.0,0.21,0.5,Furniture,Online,Jaipur,Rajasthan,26.9124,75.7873
C019,2021-03-06 02:56:56.788485,2021-04-27 02:56:56.788485,2,9,1312.16,11809.44,590,4.5,0.21,0.42,Furniture,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C020,2021-07-21 02:56:56.788485,2022-02-16 02:56:56.788485,7,49,1398.54,68528.46,3426,7.0,0.13,0.2,Electronics,Retail,Mumbai,Maharashtra,19.076,72.8777
C021,2024-03-29 02:56:56.788485,2025-02-14 02:56:56.788485,11,33,881.61,29093.13,1454,3.0,0.22,0.34,Clothing,Retail,Delhi,Delhi,28.6139,77.209
C022,2023-10-21 02:56:56.788485,2023-11-28 02:56:56.788485,1,18,1917.96,34523.28,1726,18.0,0.01,0.72,Furniture,Retail,Bengaluru,Karnataka,12.9716,77.5946
C023,2023-12-06 02:56:56.788485,2024-10-01 02:56:56.788485,10,9,1773.5,15961.5,798,0.9,0.02,0.67,Electronics,Online,Hyderabad,Telangana,17.385,78.4867
C024,2021-06-27 02:56:56.788485,2021-10-27 02:56:56.788485,4,62,1474.29,91405.98,4570,15.5,0.23,0.08,Electronics,Online,Chennai,Tamil Nadu,13.0827,80.2707
